"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",26,"M3",3.68808961256193e-05,0.84549563937866,3e-04,0.233358274610031,4.26862223676149e-08,0.371401229155824,9.96118320132673e-09
"root1",26,"M1",5.82232483651332e-05,0.84549563937866,4e-04,0.233358274610031,6.73880189411264e-08,0.371401229155824,1.57255518294893e-08
"root1",26,"M2",4.01016111915984e-05,0.84549563937866,4e-04,0.233358274610031,4.64139018421278e-08,0.371401229155824,1.08310680517983e-08
"root1",26,"M3",3.82322680638474e-05,0.84549563937866,4e-04,0.233358274610031,4.42503102590826e-08,0.371401229155824,1.03261760530181e-08
"root1",26,"M1",6.11420250223445e-05,0.84549563937866,5e-04,0.233358274610031,7.07662326647506e-08,0.371401229155824,1.65138859552982e-08
"root1",26,"M2",4.09471527010548e-05,0.84549563937866,5e-04,0.233358274610031,4.73925378484431e-08,0.371401229155824,1.10594408617033e-08
"root1",26,"M3",3.9312511503206e-05,0.84549563937866,5e-04,0.233358274610031,4.55005920175995e-08,0.371401229155824,1.0617939646962e-08
"root1",26,"M1",6.37746861471346e-05,0.84549563937866,6e-04,0.233358274610031,7.38132941517761e-08,0.371401229155824,1.72249429665412e-08
"root1",26,"M2",4.16808210009017e-05,0.84549563937866,6e-04,0.233358274610031,4.82416909732658e-08,0.371401229155824,1.12575977697916e-08
"root1",26,"M3",4.02268631250742e-05,0.84549563937866,6e-04,0.233358274610031,4.65588693577248e-08,0.371401229155824,1.08648974211125e-08
"root1",26,"M1",6.62066642146001e-05,0.84549563937866,7e-04,0.233358274610031,7.66280835817131e-08,0.371401229155824,1.78817973713018e-08
"root1",26,"M2",4.23392860190797e-05,0.84549563937866,7e-04,0.233358274610031,4.90038032628237e-08,0.371401229155824,1.1435442978742e-08
"root1",26,"M3",4.10295504711197e-05,0.84549563937866,7e-04,0.233358274610031,4.748790563787e-08,0.371401229155824,1.10816957244973e-08
"root1",26,"M1",6.84902864378419e-05,0.84549563937866,8e-04,0.233358274610031,7.92711648586133e-08,0.371401229155824,1.84985822577333e-08
"root1",26,"M2",4.29432971712158e-05,0.84549563937866,8e-04,0.233358274610031,4.97028902444627e-08,0.371401229155824,1.15985807105796e-08
"root1",26,"M3",4.17518027513087e-05,0.84549563937866,8e-04,0.233358274610031,4.83238457769777e-08,0.371401229155824,1.12767692730367e-08
"root1",26,"M1",7.06598598907668e-05,0.84549563937866,9e-04,0.233358274610031,8.17822452439431e-08,0.371401229155824,1.9084563643861e-08
"root1",26,"M2",4.35056390911521e-05,0.84549563937866,9e-04,0.233358274610031,5.03537489480927e-08,0.371401229155824,1.17504639746736e-08
"root1",26,"M3",4.24131073332358e-05,0.84549563937866,9e-04,0.233358274610031,4.90892445986525e-08,0.371401229155824,1.14553814214513e-08
"root1",26,"M1",7.27390526915785e-05,0.84549563937866,0.001,0.233358274610031,8.41887183930307e-08,0.371401229155824,1.96461340658274e-08
"root1",26,"M2",4.4034720905648e-05,0.84549563937866,0.001,0.233358274610031,5.09661121593148e-08,0.371401229155824,1.1893363997079e-08
"root1",26,"M3",4.30263897920283e-05,0.84549563937866,0.001,0.233358274610031,4.9799062259292e-08,0.371401229155824,1.16210232460259e-08
"root1",30,"M1",4.42193165209482e-05,5.3502576248052,1e-04,0.263178350723938,5.11797644918382e-08,0.418861354324872,1.34694060094015e-08
"root1",30,"M2",3.75355253603237e-05,5.3502576248052,1e-04,0.263178350723938,4.34438950929672e-08,0.418861354324872,1.14334926595909e-08
"root1",30,"M3",3.42528992479085e-05,5.3502576248052,1e-04,0.263178350723938,3.96445593147089e-08,0.418861354324872,1.04335897356224e-08
"root1",30,"M1",4.99655577001278e-05,5.3502576248052,2e-04,0.263178350723938,5.78305065973701e-08,0.418861354324872,1.52197373478257e-08
"root1",30,"M2",4.04460899612983e-05,5.3502576248052,2e-04,0.263178350723938,4.6812604121873e-08,0.418861354324872,1.23200639458872e-08
"root1",30,"M3",3.79012683108545e-05,5.3502576248052,2e-04,0.263178350723938,4.38672086931186e-08,0.418861354324872,1.15448996347178e-08
"root1",30,"M1",5.45756815244413e-05,5.3502576248052,3e-04,0.263178350723938,6.31662980606959e-08,0.418861354324872,1.66240021449506e-08
"root1",30,"M2",4.25940412362774e-05,5.3502576248052,3e-04,0.263178350723938,4.9298658838284e-08,0.418861354324872,1.29743397259617e-08
"root1",30,"M3",4.04524361075144e-05,5.3502576248052,3e-04,0.263178350723938,4.6819949198512e-08,0.418861354324872,1.2321997011043e-08
