"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
108,109,0,0.1812,-0.0153,-14.4768,0.1816,-0.0148,-14.4886,0.0717,0.011817360111293,0.4314,0.3922,0.1961,9.3309,1,"Tomato_60_8"
109,110,0,0.1816,-0.0148,-14.4886,0.1812,-0.0232,-14.6884,0.0717,0.199976898665821,0.4314,0.3922,0.1961,9.4817,1,"Tomato_60_8"
110,111,0,0.1812,-0.0232,-14.6884,0.181,-0.0242,-14.7206,0.0717,0.0322161450207807,0.4314,0.3922,0.1961,9.506,1,"Tomato_60_8"
111,112,0,0.181,-0.0242,-14.7206,0.1769,-0.0316,-14.9204,0.0717,0.19997902390001,0.4314,0.3922,0.1961,9.6577,1,"Tomato_60_8"
112,113,0,0.1769,-0.0316,-14.9204,0.1763,-0.0336,-14.963,0.0717,0.0426511430093012,0.4314,0.3922,0.1961,9.6901,1,"Tomato_60_8"
113,114,0,0.1763,-0.0336,-14.963,0.174,-0.0597,-15.1613,0.0717,0.200023473622474,0.4314,0.3922,0.1961,9.8428,1,"Tomato_60_8"
114,115,0,0.174,-0.0597,-15.1613,0.1736,-0.0647,-15.2057,0.0717,0.0446824350276477,0.4314,0.3922,0.1961,9.877,1,"Tomato_60_8"
115,116,0,0.1736,-0.0647,-15.2057,0.1771,-0.0757,-15.3342,0.0717,0.129017440681482,0.4314,0.3922,0.1961,9.976,1,"Tomato_60_8"
116,117,0,0.1771,-0.0757,-15.3342,0.1647,-0.0971,-15.5327,0.0717,0.200034921951144,0.4314,0.3922,0.1961,10.1301,1,"Tomato_60_8"
117,118,0,0.1647,-0.0971,-15.5327,0.1641,-0.0995,-15.5551,0.0717,0.022536193112413,0.4314,0.3922,0.1961,10.1476,1,"Tomato_60_8"
118,119,0,0.1641,-0.0995,-15.5551,0.1637,-0.1103,-15.6502,0.0717,0.095712120444592,0.4314,0.3922,0.1961,10.2217,1,"Tomato_60_8"
119,120,0,0.1637,-0.1103,-15.6502,0.1481,-0.1091,-15.8496,0.0717,0.200012899584003,0.4314,0.3922,0.1961,10.3771,1,"Tomato_60_8"
120,121,0,0.1481,-0.1091,-15.8496,0.1467,-0.1092,-15.8678,0.0717,0.0182540406485799,0.4314,0.3922,0.1961,10.3913,1,"Tomato_60_8"
121,122,0,0.1467,-0.1092,-15.8678,0.118,-0.112,-16.0645,0.0717,0.198802464773451,0.4314,0.3922,0.1961,10.5467,1,"Tomato_60_8"
122,123,0,0.118,-0.112,-16.0645,0.0917,-0.1145,-16.2628,0.0717,0.20005206822225,0.4314,0.3922,0.1961,10.7038,1,"Tomato_60_8"
123,124,0,0.0917,-0.1145,-16.2628,0.0895,-0.1179,-16.3156,0.0717,0.0529550752997306,0.4314,0.3922,0.1961,10.7456,1,"Tomato_60_8"
124,125,0,0.0895,-0.1179,-16.3156,0.0768,-0.1296,-16.4928,0.0717,0.178039377666851,0.4314,0.3922,0.1961,10.8864,1,"Tomato_60_8"
125,126,0,0.0768,-0.1296,-16.4928,0.0686,-0.1264,-16.6926,0.0717,0.199993799903897,0.4314,0.3922,0.1961,11.0453,1,"Tomato_60_8"
126,127,0,0.0686,-0.1264,-16.6926,0.0652,-0.1289,-16.7558,0.0717,0.0633407451803359,0.4314,0.3922,0.1961,11.0958,1,"Tomato_60_8"
127,128,0,0.0652,-0.1289,-16.7558,0.0488,-0.146,-16.9404,0.0717,0.186114292841791,0.4314,0.3922,0.1961,11.2447,1,"Tomato_60_8"
128,129,0,0.0488,-0.146,-16.9404,0.0343,-0.1579,-17.1395,0.0717,0.19998167416041,0.4314,0.3922,0.1961,11.4056,1,"Tomato_60_8"
129,130,0,0.0343,-0.1579,-17.1395,0.0335,-0.1594,-17.1541,0.0717,0.0146986393928125,0.4314,0.3922,0.1961,11.4174,1,"Tomato_60_8"
2,131,2,0.0167,0.001,-0.198,0.0856,0.1736,-0.2719,0.0639,0.199997949989494,0.4314,0.3922,0.1961,11.4711,2,"Tomato_60_8"
130,132,0,0.0335,-0.1594,-17.1541,0.0278,-0.1565,-17.2885,0.0717,0.1345520717046,0.4314,0.3922,0.1961,11.5261,1,"Tomato_60_8"
3,133,3,0.0196,0.0102,-0.3108,-0.0649,-0.1239,-0.4328,0.0768,0.200017649221262,0.4314,0.3922,0.1961,11.5807,2,"Tomato_60_8"
