"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius","Barrier_Name"
"root14",15,"b9",9.52619806697608e-12,2.47740003903799e-10,3.472e-07,0.1424971240696,6.68518619528293e-08,0.226791216720559,"T1"
"root14",15,"b1",1.3278917161154e-11,2.47740003903799e-10,4.63e-07,0.1424971240696,9.31872642894052e-08,0.226791216720559,"M1"
"root14",15,"b3",7.18939683398744e-12,2.47740003903799e-10,4.63e-07,0.1424971240696,5.04529258462502e-08,0.226791216720559,"M2"
"root14",15,"b4",6.82040882145655e-12,2.47740003903799e-10,4.63e-07,0.1424971240696,4.78634840245986e-08,0.226791216720559,"M3"
"root14",15,"b6",9.8150049167285e-12,2.47740003903799e-10,4.63e-07,0.1424971240696,6.88786175918508e-08,0.226791216720559,"T2"
"root14",15,"b8",6.03671933961202e-12,2.47740003903799e-10,4.63e-07,0.1424971240696,4.23637977189175e-08,0.226791216720559,"T3"
"root14",15,"b9",1.03616979227694e-11,2.47740003903799e-10,4.63e-07,0.1424971240696,7.27151371680202e-08,0.226791216720559,"T1"
"root14",15,"b1",1.42893160283882e-11,2.47740003903799e-10,5.787e-07,0.1424971240696,1.00277925759462e-07,0.226791216720559,"M1"
"root14",15,"b3",7.33555664689262e-12,2.47740003903799e-10,5.787e-07,0.1424971240696,5.14786294445473e-08,0.226791216720559,"M2"
"root14",15,"b4",7.01410406009405e-12,2.47740003903799e-10,5.787e-07,0.1424971240696,4.92227762903351e-08,0.226791216720559,"M3"
"root14",15,"b6",1.04174211340576e-11,2.47740003903799e-10,5.787e-07,0.1424971240696,7.31061851393538e-08,0.226791216720559,"T2"
"root14",15,"b8",6.16062094942366e-12,2.47740003903799e-10,5.787e-07,0.1424971240696,4.32333002483238e-08,0.226791216720559,"T3"
"root14",15,"b9",1.10623091119973e-11,2.47740003903799e-10,5.787e-07,0.1424971240696,7.76318061450429e-08,0.226791216720559,"T1"
