"Root","X","Barrier","Kr","Kx","perimeter"
"root1",11,"b7",0.000121361942666189,0.197457888845825,0.123792152695948
"root1",11,"b8",4.07050509468348e-05,0.197457888845825,0.123792152695948
"root1",11,"b9",7.21127545987382e-05,7.21127545987382e-05,0.123792152695948
"root1",12,"b0",0.000133369136727855,0.0787758891639336,0.128711119757379
"root1",12,"b1",7.81269024479839e-05,0.0787758891639336,0.128711119757379
"root1",12,"b2",3.98718765853526e-05,0.0787758891639336,0.128711119757379
"root1",12,"b3",3.98718765853526e-05,0.0787758891639336,0.128711119757379
"root1",12,"b4",3.81301112236459e-05,0.0787758891639336,0.128711119757379
"root1",12,"b5",7.1700152583089e-05,0.0787758891639336,0.128711119757379
"root1",12,"b6",5.83085476517605e-05,0.0787758891639336,0.128711119757379
"root1",12,"b7",0.000105866625375441,0.0787758891639336,0.128711119757379
"root1",12,"b8",3.39825475343647e-05,0.0787758891639336,0.128711119757379
"root1",12,"b9",6.15678082171245e-05,6.15678082171245e-05,0.128711119757379
"root1",13,"b0",0.000114377906000537,0.138743214295343,0.131520123493333
"root1",13,"b1",7.77412955551866e-05,0.138743214295343,0.131520123493333
"root1",13,"b2",4.07099743067173e-05,0.138743214295343,0.131520123493333
"root1",13,"b3",4.07099743067173e-05,0.138743214295343,0.131520123493333
"root1",13,"b4",3.87434317385995e-05,0.138743214295343,0.131520123493333
"root1",13,"b5",7.08665734809932e-05,0.138743214295343,0.131520123493333
"root1",13,"b6",5.78173151694283e-05,0.138743214295343,0.131520123493333
"root1",13,"b7",9.51303956308692e-05,0.138743214295343,0.131520123493333
"root1",13,"b8",3.44900127767525e-05,0.138743214295343,0.131520123493333
"root1",13,"b9",6.0922805984631e-05,6.0922805984631e-05,0.131520123493333
"root1",14,"b0",0.000136204106751725,0.253875641148877,0.136696794236609
"root1",14,"b1",8.23724247770776e-05,0.253875641148877,0.136696794236609
"root1",14,"b2",4.41137979002354e-05,0.253875641148877,0.136696794236609
"root1",14,"b3",4.41137979002354e-05,0.253875641148877,0.136696794236609
"root1",14,"b4",4.21920217105763e-05,0.253875641148877,0.136696794236609
"root1",14,"b5",7.58691621075397e-05,0.253875641148877,0.136696794236609
"root1",14,"b6",6.13564812327226e-05,0.253875641148877,0.136696794236609
"root1",14,"b7",0.000103834701640112,0.253875641148877,0.136696794236609
"root1",14,"b8",3.7308598468554e-05,0.253875641148877,0.136696794236609
"root1",14,"b9",6.48715781538666e-05,6.48715781538666e-05,0.136696794236609
"root1",15,"b0",0.000180400947150354,0.420995251805847,0.142150593889985
"root1",15,"b1",9.29341274484946e-05,0.420995251805847,0.142150593889985
"root1",15,"b2",4.90719977716532e-05,0.420995251805847,0.142150593889985
"root1",15,"b3",4.90719977716532e-05,0.420995251805847,0.142150593889985
"root1",15,"b4",4.6013042306834e-05,0.420995251805847,0.142150593889985
"root1",15,"b5",8.25241120170451e-05,0.420995251805847,0.142150593889985
"root1",15,"b6",6.51267081261912e-05,0.420995251805847,0.142150593889985
"root1",15,"b7",0.000114937594720393,0.420995251805847,0.142150593889985
"root1",15,"b8",4.00552255664021e-05,0.420995251805847,0.142150593889985
"root1",15,"b9",6.92450247445893e-05,6.92450247445893e-05,0.142150593889985
"root1",16,"b0",0.000133572066677981,0.185926299955453,0.134604173644569
"root1",16,"b1",8.32867541807338e-05,0.185926299955453,0.134604173644569
"root1",16,"b2",4.43702489469617e-05,0.185926299955453,0.134604173644569
"root1",16,"b3",4.43702489469617e-05,0.185926299955453,0.134604173644569
"root1",16,"b4",4.24062483742169e-05,0.185926299955453,0.134604173644569
"root1",16,"b5",7.65814991782343e-05,0.185926299955453,0.134604173644569
"root1",16,"b6",6.17074359922476e-05,0.185926299955453,0.134604173644569
"root1",16,"b7",0.000102045741157446,0.185926299955453,0.134604173644569
"root1",16,"b8",3.74318733459099e-05,0.185926299955453,0.134604173644569
"root1",16,"b9",6.51669989904502e-05,6.51669989904502e-05,0.134604173644569
"root1",17,"b0",0.000189704520213068,0.603682706980897,0.11757841903532
"root1",17,"b1",0.000112254871063763,0.603682706980897,0.11757841903532
"root1",17,"b2",5.25301858487705e-05,0.603682706980897,0.11757841903532
"root1",17,"b3",5.25301858487705e-05,0.603682706980897,0.11757841903532
"root1",17,"b4",4.95120490082392e-05,0.603682706980897,0.11757841903532
"root1",17,"b5",9.91886465595311e-05,0.603682706980897,0.11757841903532
"root1",17,"b6",7.50761821376781e-05,0.603682706980897,0.11757841903532
"root1",17,"b7",0.000159763752835753,0.603682706980897,0.11757841903532
"root1",17,"b8",4.27117437165164e-05,0.603682706980897,0.11757841903532
"root1",17,"b9",8.08764494860569e-05,8.08764494860569e-05,0.11757841903532
"root1",18,"b0",0.000170541072274032,0.572452068183201,0.12949426475399
"root1",18,"b1",0.000104416599115906,0.572452068183201,0.12949426475399
"root1",18,"b2",5.2511536355277e-05,0.572452068183201,0.12949426475399
"root1",18,"b3",5.2511536355277e-05,0.572452068183201,0.12949426475399
"root1",18,"b4",4.92302386614128e-05,0.572452068183201,0.12949426475399
"root1",18,"b5",9.20813506615163e-05,0.572452068183201,0.12949426475399
"root1",18,"b6",7.10072389367101e-05,0.572452068183201,0.12949426475399
"root1",18,"b7",0.000132670350090941,0.572452068183201,0.12949426475399
"root1",18,"b8",4.25262112913728e-05,0.572452068183201,0.12949426475399
"root1",18,"b9",7.59242036460773e-05,7.59242036460773e-05,0.12949426475399
"root1",19,"b0",0.000166500318864017,0.45399866472583,0.141091677159279
"root1",19,"b1",9.83685805991064e-05,0.45399866472583,0.141091677159279
"root1",19,"b2",5.06497921067564e-05,0.45399866472583,0.141091677159279
"root1",19,"b3",5.06497921067564e-05,0.45399866472583,0.141091677159279
"root1",19,"b4",4.80388918915699e-05,0.45399866472583,0.141091677159279
"root1",19,"b5",8.89074273756868e-05,0.45399866472583,0.141091677159279
"root1",19,"b6",6.95312922835119e-05,0.45399866472583,0.141091677159279
"root1",19,"b7",0.000127450384057731,0.45399866472583,0.141091677159279
"root1",19,"b8",4.17774073884576e-05,0.45399866472583,0.141091677159279
"root1",19,"b9",7.37828224940648e-05,7.37828224940648e-05,0.141091677159279
"root1",2,"b0",5.88962872954921e-05,0.016265106103225,0.112261118857557
"root1",2,"b1",7.41801902828513e-05,0.016265106103225,0.112261118857557
"root1",2,"b2",3.62470553010512e-05,0.016265106103225,0.112261118857557
"root1",2,"b3",3.62470553010512e-05,0.016265106103225,0.112261118857557
"root1",2,"b4",3.46434992160195e-05,0.016265106103225,0.112261118857557
"root1",2,"b5",6.77535261957857e-05,0.016265106103225,0.112261118857557
"root1",2,"b6",5.547612637789e-05,0.016265106103225,0.112261118857557
"root1",2,"b7",0.000116857154688505,0.016265106103225,0.112261118857557
"root1",2,"b8",3.11240118558769e-05,0.016265106103225,0.112261118857557
"root1",2,"b9",5.85021484335948e-05,5.85021484335948e-05,0.112261118857557
"root1",20,"b0",0.000177857206036697,0.474325989004693,0.141239399416286
"root1",20,"b1",9.06862279275349e-05,0.474325989004693,0.141239399416286
"root1",20,"b2",4.96940486745035e-05,0.474325989004693,0.141239399416286
