"name","type","value","CS_id","age"
"planttype","param",2,"B11_D_To_C01_Z20_01",14.11
"randomness","param",2,"B11_D_To_C01_Z20_01",14.11
"stele","n_layers",8,"B11_D_To_C01_Z20_01",14.11
"pericycle","n_layers",1,"B11_D_To_C01_Z20_01",14.11
"cortex","order",4,"B11_D_To_C01_Z20_01",14.11
"xylem","n_files",2,"B11_D_To_C01_Z20_01",14.11
"xylem","max_size",0.0355995848291528,"B11_D_To_C01_Z20_01",14.11
"endodermis","cell_diameter",0.01180425,"B11_D_To_C01_Z20_01",14.11
"exodermis","cell_diameter",0.0242870833333333,"B11_D_To_C01_Z20_01",14.11
"xylem","cell_diameter",0.0203349572020319,"B11_D_To_C01_Z20_01",14.11
"cortex","n_layers",3,"B11_D_To_C01_Z20_01",14.11
"phloem","order",1.5,"B11_D_To_C01_Z20_01",14.11
"aerenchyma","proportion",0,"B11_D_To_C01_Z20_01",14.11
"epidermis","cell_diameter",0.0149035,"B11_D_To_C01_Z20_01",14.11
"phloem","n_layers",1,"B11_D_To_C01_Z20_01",14.11
"phloem","proportion",0.15525654295431,"B11_D_To_C01_Z20_01",14.11
"xylem","n_cells",8,"B11_D_To_C01_Z20_01",14.11
"phloem","cell_diameter",0.0082698311101991,"B11_D_To_C01_Z20_01",14.11
"aerenchyma","n_files",10,"B11_D_To_C01_Z20_01",14.11
"epidermis","order",6,"B11_D_To_C01_Z20_01",14.11
"cortex","cell_diameter",0.0182008333333333,"B11_D_To_C01_Z20_01",14.11
"endodermis","order",3,"B11_D_To_C01_Z20_01",14.11
"pericycle","order",2,"B11_D_To_C01_Z20_01",14.11
"stele","order",1,"B11_D_To_C01_Z20_01",14.11
"secondarygrowth","param",1,"B11_D_To_C01_Z20_01",14.11
"stele","SD",0.00122358974780378,"B11_D_To_C01_Z20_01",14.11
"exodermis","order",5,"B11_D_To_C01_Z20_01",14.11
"xylem","order",1.5,"B11_D_To_C01_Z20_01",14.11
"epidermis","n_layers",1,"B11_D_To_C01_Z20_01",14.11
"pericycle","cell_diameter",0.0107647142857143,"B11_D_To_C01_Z20_01",14.11
"endodermis","n_layers",1,"B11_D_To_C01_Z20_01",14.11
"stele","layer_diameter",0.13526,"B11_D_To_C01_Z20_01",14.11
"stele","cell_diameter",0.00826970916008121,"B11_D_To_C01_Z20_01",14.11
"exodermis","n_layers",1,"B11_D_To_C01_Z20_01",14.11
"epidermis","order",6,"B11_E_To_C01_Z20_02",25.83
"stele","SD",0.00181760698486478,"B11_E_To_C01_Z20_02",25.83
"xylem","n_files",2,"B11_E_To_C01_Z20_02",25.83
"xylem","n_cells",8,"B11_E_To_C01_Z20_02",25.83
"planttype","param",2,"B11_E_To_C01_Z20_02",25.83
"cortex","order",4,"B11_E_To_C01_Z20_02",25.83
"exodermis","n_layers",1,"B11_E_To_C01_Z20_02",25.83
"exodermis","cell_diameter",0.02823125,"B11_E_To_C01_Z20_02",25.83
"endodermis","order",3,"B11_E_To_C01_Z20_02",25.83
"xylem","max_size",0.0645426176394888,"B11_E_To_C01_Z20_02",25.83
"phloem","order",1.5,"B11_E_To_C01_Z20_02",25.83
"xylem","cell_diameter",0.0463116730228646,"B11_E_To_C01_Z20_02",25.83
"phloem","proportion",0.104695919938414,"B11_E_To_C01_Z20_02",25.83
"phloem","cell_diameter",0.0115211852823428,"B11_E_To_C01_Z20_02",25.83
"stele","layer_diameter",0.2598,"B11_E_To_C01_Z20_02",25.83
"cortex","cell_diameter",0.0234785,"B11_E_To_C01_Z20_02",25.83
"endodermis","cell_diameter",0.0194012941176471,"B11_E_To_C01_Z20_02",25.83
"pericycle","n_layers",1,"B11_E_To_C01_Z20_02",25.83
"phloem","n_layers",1,"B11_E_To_C01_Z20_02",25.83
"cortex","n_layers",2,"B11_E_To_C01_Z20_02",25.83
"endodermis","n_layers",1,"B11_E_To_C01_Z20_02",25.83
"epidermis","n_layers",1,"B11_E_To_C01_Z20_02",25.83
"epidermis","cell_diameter",0.015087,"B11_E_To_C01_Z20_02",25.83
"xylem","order",1.5,"B11_E_To_C01_Z20_02",25.83
"stele","cell_diameter",0.0115210153865028,"B11_E_To_C01_Z20_02",25.83
"stele","order",1,"B11_E_To_C01_Z20_02",25.83
"aerenchyma","n_files",10,"B11_E_To_C01_Z20_02",25.83
"pericycle","order",2,"B11_E_To_C01_Z20_02",25.83
"pericycle","cell_diameter",0.01546,"B11_E_To_C01_Z20_02",25.83
"aerenchyma","proportion",0,"B11_E_To_C01_Z20_02",25.83
"randomness","param",2,"B11_E_To_C01_Z20_02",25.83
"secondarygrowth","param",1,"B11_E_To_C01_Z20_02",25.83
"exodermis","order",5,"B11_E_To_C01_Z20_02",25.83
"stele","n_layers",10,"B11_E_To_C01_Z20_02",25.83
"xylem","cell_diameter",0.0507315684585047,"B11_F_To_C01_Z10_01",28.22
"exodermis","order",5,"B11_F_To_C01_Z10_01",28.22
"xylem","n_files",2,"B11_F_To_C01_Z10_01",28.22
"aerenchyma","proportion",0,"B11_F_To_C01_Z10_01",28.22
"epidermis","n_layers",1,"B11_F_To_C01_Z10_01",28.22
"epidermis","cell_diameter",0.031655,"B11_F_To_C01_Z10_01",28.22
"stele","order",1,"B11_F_To_C01_Z10_01",28.22
"epidermis","order",6,"B11_F_To_C01_Z10_01",28.22
"xylem","n_cells",14,"B11_F_To_C01_Z10_01",28.22
"endodermis","cell_diameter",0.024643,"B11_F_To_C01_Z10_01",28.22
"phloem","n_layers",5,"B11_F_To_C01_Z10_01",28.22
"stele","cell_diameter",0.0188217325285489,"B11_F_To_C01_Z10_01",28.22
"secondarygrowth","param",1,"B11_F_To_C01_Z10_01",28.22
"phloem","order",1.5,"B11_F_To_C01_Z10_01",28.22
"stele","layer_diameter",0.436,"B11_F_To_C01_Z10_01",28.22
"stele","SD",0.00324615149829386,"B11_F_To_C01_Z10_01",28.22
"endodermis","n_layers",1,"B11_F_To_C01_Z10_01",28.22
"phloem","proportion",0.186697247706422,"B11_F_To_C01_Z10_01",28.22
"exodermis","n_layers",1,"B11_F_To_C01_Z10_01",28.22
"xylem","order",1.5,"B11_F_To_C01_Z10_01",28.22
"pericycle","n_layers",1,"B11_F_To_C01_Z10_01",28.22
"pericycle","order",2,"B11_F_To_C01_Z10_01",28.22
"cortex","n_layers",2,"B11_F_To_C01_Z10_01",28.22
"cortex","order",4,"B11_F_To_C01_Z10_01",28.22
