"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","Kr","Barrier_Name"
"b2",4.38016368721794e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.15471740628667e-08,"En.Sub*"
"b3",4.38016368721794e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.15471740628667e-08,"En.Sub"
"b4",3.80903084623162e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",3.6129806756087e-08,"En.Sub-Ex.CS"
"b5",5.49114660419473e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",5.20851822124716e-08,"En.CS-Ex.CS"
"b6",4.82867645839254e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.58014530131689e-08,"En.CS-Ex.Sub"
"b7",1.17133698893482e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",1.11104847308707e-07,"Ex.CS"
"b8",3.4811361438474e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",3.30196265785736e-08,"En.Sub-Ex.Sub"
"b9",5.01391769960092e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12",4.75585220730685e-08,"En.CS-Ex.LC"
"b0",5.94756450579702e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",5.64144437098479e-08,NA
"b1",8.53330483918094e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",8.09409708864409e-08,"En.CS"
"b2",4.79704597612466e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",4.55014283459833e-08,"En.Sub*"
"b3",4.79704597612466e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",4.55014283459833e-08,"En.Sub"
"b4",4.31129191460702e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",4.08939045211292e-08,"En.Sub-Ex.CS"
"b5",7.10180157008942e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",6.73627304964605e-08,"En.CS-Ex.CS"
"b6",5.98016860158952e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",5.67237033950524e-08,"En.CS-Ex.Sub"
"b7",1.37986004969042e-07,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",1.30883888732698e-07,"Ex.CS"
"b8",3.87212730183329e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",3.67282956735861e-08,"En.Sub-Ex.Sub"
"b9",6.2798458177412e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",2e-04,6.13425925925926e-19,"2e-04_5.3e-12",5.95662322024718e-08,"En.CS-Ex.LC"
"b0",7.03448761698473e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",6.67242373427317e-08,NA
"b1",9.89209410459132e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",9.38294970137867e-08,"En.CS"
"b2",5.0197867810319e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",4.76141920811354e-08,"En.Sub*"
"b3",5.0197867810319e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",4.76141920811354e-08,"En.Sub"
"b4",4.60132437789388e-08,2.39996755745129e-11,0.948530169868043,"B04_B_To_C03_Z20_01",3e-04,6.13425925925926e-19,"3e-04_5.3e-12",4.36449499378165e-08,"En.Sub-Ex.CS"
