"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"38920","root17",3,168.929,"b1",7.12259284311315e-05,0.0923763271787773,0.128735549068443,8.24374171656615e-08,"xylem_mean_size"
"38921","root9",0,164.4178,"b1",7.31797995035734e-05,0.0963019172261988,0.105851472088531,8.46988420180248e-08,"xylem_mean_size"
"38922","root29",27,1578.3121,"b4",5.12490916967605e-05,2.12049154680816,0.179751057119032,5.93160783527321e-08,"xylem_mean_size"
"38923","root18",10,318.6596,"b1",6.82405950818388e-05,0.0034071264267018,0.128485185817752,7.89821702336097e-08,"xylem_mean_size"
"38924","root4",22,979.9247,"b1",0.000103410569138832,2.12847395130659,0.211909554833526,1.196881587255e-07,"xylem_mean_size"
"38925","root16",0,187.3739,"b5",6.56509662751716e-05,0.0595949569895198,0.148079220947393,7.59849146703375e-08,"xylem_mean_size"
"38926","root23",12,250.0444,"b6",4.92153475956129e-05,0.0150881532099522,0.143365625724437,5.69622078652927e-08,"xylem_mean_size"
"38927","root30",17,582.3259,"b6",5.64852036483773e-05,0.0751667741573502,0.145630584275938,6.53763931115478e-08,"xylem_mean_size"
"38928","root10",0,193.016,"b4",3.67333916895571e-05,0.0103249814723068,0.114877225204765,4.25154996406911e-08,"xylem_mean_size"
"38929","root29",16,801.0848,"b4",3.94241413896363e-05,0.0924370430547121,0.12150041425172,4.5629793275042e-08,"xylem_mean_size"
"38930","root12",11,491.759,"b1",5.16696673713955e-05,0.00731637824391418,0.145873701816699,5.980285575393e-08,"xylem_mean_size"
"38931","root15",22,1385.4348,"b5",6.67688355069425e-05,0.528380905843913,0.163274338792001,7.7278744799702e-08,"xylem_mean_size"
"38932","root6",16,572.7626,"b5",9.33582141640752e-05,1.21337928139057,0.188844200568442,1.08053488615828e-07,"xylem_mean_size"
"38933","root23",13,429.5776,"b1",6.00042238370078e-05,0.142302230348055,0.199094051176944,6.94493331446849e-08,"xylem_mean_size"
"38934","root28",29,1572.3874,"b1",7.42662220408383e-05,2.12779317193799,0.202321357780862,8.59562755102295e-08,"xylem_mean_size"
"38935","root12",14,431.8073,"b4",5.62908158377856e-05,0.0325029945040336,0.136714108683945,6.51514072196592e-08,"xylem_mean_size"
"38936","root12",0,158.7919,"b4",2.78829541390086e-05,0.048421072479128,0.138414777726849,3.22719376608896e-08,"xylem_mean_size"
"38937","root3",26,1371.2819,"b4",5.31546952301018e-05,2.06266790900278,0.176902861171093,6.1521637997803e-08,"xylem_mean_size"
"38938","root1",24,735.4696,"b4",4.63243022486861e-05,0.853068014787431,0.168722110776892,5.36160905656089e-08,"xylem_mean_size"
"38939","root29",27,1578.3121,"b5",8.52480872507129e-05,2.12049154680816,0.179751057119032,9.86667676512881e-08,"xylem_mean_size"
"38940","root17",25,1244.0409,"b4",4.50438214727868e-05,0.914940631473326,0.252584785615316,5.21340526305403e-08,"xylem_mean_size"
